"SENTR7"	"flanking size (bp) = 108"	"pattern length (bp)  = 9"		"SENTR5"	"Flanking size (bp)  = 211"	"Pattern length (bp)  = 6"		"SENTR2"	"Flanking size (bp)  = 167"	"Pattern length = 39"		"SENTR4"	"Flanking size (bp)  = 91"	"Pattern length (bp)  = 7"		"SE-3"	"Flanking size (bp)  = 296"	"Pattern length (bp)  = 12"		"SENTR1"	"Flanking size (bp)  = 80"	"Pattern length (bp)  = 45"		"SE-7"	"Flanking size (bp)  = 229"	"Pattern length (bp)  = 61"		"SENTR6"	"Flanking size (bp) = 145"	"Pattern length (bp)  = 7"		"SENTR3"	"Flanking size (bp)  = 121"	"Pattern length (bp)  = 93"	
"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"	"Reference strain"	"Measured length"	"Tandem repeats"	"Correct length"
5628	"121.26"	2	126	5628	"243.11"	6	247	5628	"506.23"	9	518	5628	"124.44"	5	126	5628	"305.23"	1	308	5628	"420.64"	8	440	5628	"701.89"	8	717	5628	"182.96"	6	187	5628	"480.45"	4	493
5629	"121.25"	2	126	5629	"249.25"	7	253	5629	"506.28"	9	518	5629	"131.63"	6	133	5629	"305.17"	1	308	5629	"420.9"	8	440	5629	"581.22"	6	595	5629	"225.69"	12	229	5629	"480.55"	4	493
5629	"121.24"	2	126	5629	"249.25"	7	253	5629	"506.23"	9	518	5629	"131.65"	6	133	5629	"305.24"	1	308	5629	"420.81"	8	440	5629	"581.21"	6	595	5629	"225.68"	12	229	5629	"480.63"	4	493
5630	"121.35"	2	126	5630	"255.24"	8	259	5630	"506.26"	9	518	5630	"124.43"	5	126	5630	"317.73"	2	320	5630	"420.8"	8	440	5630	"761.33"	9	778	5630	"197.07"	8	201	5630	"480.54"	4	493
5630	"121.24"	2	126	5630	"255.24"	8	259	5630	"506.2"	9	518	5630	"124.39"	5	126	5630	"317.77"	2	320	5630	"420.81"	8	440	5630	"760.94"	9	778	5630	"197.26"	8	201	5630	"480.54"	4	493
5631	"121.35"	2	126	5631	"267.28"	10	271	5631	"506.23"	9	518	5631	"124.44"	5	126	5631	"305.21"	1	308	5631	"420.91"	8	440	5631	"761.36"	9	778	5631	"232.52"	13	236	5631	"480.73"	4	493
5631	"121.35"	2	126	5631	"267.33"	10	271	5631	"506.29"	9	518	5631	"124.43"	5	126	5631	"305.22"	1	308	5631	"420.9"	8	440	5631	"761.35"	9	778	5631	"232.56"	13	236	5631	"480.54"	4	493
5632	"121.34"	2	126	5632	"297.26"	15	301	5632	"506.32"	9	518	5632	"138.84"	7	140	5632	0	0	0	5632	"421.18"	8	440	5632	"641.54"	7	656	5632	"197.15"	8	201	5632	"480.73"	4	493
5632	"121.34"	2	126	5632	"297.18"	15	301	5632	"506.27"	9	518	5632	"138.95"	7	140	5632	0	0	0	5632	"421.08"	8	440	5632	"641.44"	7	656	5632	"197.16"	8	201	5632	"480.73"	4	493
5633	"121.35"	2	126	5633	"248.97"	7	253	5633	"387.11"	6	395	5633	"145.74"	8	147	5633	0	0	0	5633	421	8	440	5633	"764.41"	9	778	5633	"189.11"	7	194	5633	"572.82"	5	586
5633	"121.25"	2	126	5633	"248.97"	7	253	5633	"387.04"	6	395	5633	"145.71"	8	147	5633	0	0	0	5633	"420.99"	8	440	5633	"763.36"	9	778	5633	"190.16"	7	194	5633	"572.92"	5	586
5634	"121.34"	2	126	5634	"255.1"	8	259	5634	"392.77"	6	401	5634	"189.78"	14	189	5634	"305.19"	1	308	5634	"420.53"	8	440	5634	"466.84"	4	473	5634	"168.74"	4	173	5634	"481.37"	4	493
5634	"121.23"	2	126	5634	"255.05"	8	259	5634	"392.73"	6	401	5634	"189.84"	14	189	5634	"305.21"	1	308	5634	"420.44"	8	440	5634	"466.81"	4	473	5634	"167.85"	4	173	5634	"481.37"	4	493
5635	"121.34"	2	126	5635	"279.26"	12	283	5635	"506.2"	9	518	5635	"109.81"	3	112	5635	"317.74"	2	320	5635	"420.54"	8	440	5635	"760.62"	9	778	5635	"161.62"	3	166	5635	"480.45"	4	493
5635	"121.34"	2	126	5635	"279.27"	12	283	5635	"506.17"	9	518	5635	"109.84"	3	112	5635	"317.74"	2	320	5635	"420.54"	8	440	5635	"760.72"	9	778	5635	"161.71"	3	166	5635	"480.45"	4	493
